Artist,Album,Rating,Number of Ratings,Price,DoubleLP,Date,URL
The Cure,Head on the Door (Vinyl),4.8,"1,224",23.79,1,2022-05-30,https://www.amazon.ca/Head-Door-Vinyl-Cure/dp/B000091EQO/ref=sr_1_3?crid=TN45MHTNELRL&keywords=the+cure+vinyl&qid=1653680657&s=music&sprefix=the+cure+vinyl%2Cpopular%2C79&sr=1-3
The Beatles,Abbey Road (50th Anniversary Vinyl Edition),4.8,"8,695",42.52,1,2022-05-30,https://www.amazon.ca/Abbey-Road-50th-Anniversary-Vinyl/dp/B07VNS48HD/ref=sxin_14_ac_d_rm?ac_md=3-3-ZGlzcXVlIHZpbnlsZQ%3D%3D-ac_d_rm_rm_rm&content-id=amzn1.sym.72e1e133-b969-4a44-ad15-4bedb4de079e%3Aamzn1.sym.72e1e133-b969-4a44-ad15-4bedb4de079e&crid=288IH9R0J79O3&cv_ct_cx=vinyl+music&keywords=vinyl+music&pd_rd_i=B07VNS48HD&pd_rd_r=46acda06-729f-4645-9bee-3bd1682c9757&pd_rd_w=sLXcM&pd_rd_wg=H1z9X&pf_rd_p=72e1e133-b969-4a44-ad15-4bedb4de079e&pf_rd_r=DJGFCX009TWQS5T12MAT&psc=1&qid=1653922198&sprefix=vinyl+music%2Caps%2C87&sr=1-4-7d9bfb42-6e38-4445-b604-42cab39e191b
Dave Quartet Brubeck,Time Out (Vinyl),4.7,"3,458",26.67,1,2022-05-30,https://www.amazon.ca/Time-Vinyl-Dave-Quartet-Brubeck/dp/B0034JV5Y4/ref=sr_1_1?crid=2KFHF31Q9ZNLM&keywords=dave+brubeck+vinyl&qid=1653922267&sprefix=dave+brubeck+vinyl%2Caps%2C82&sr=8-1
Bill Evans,Waltz for Debby (Vinyl),4.6,964,25.25,1,2022-05-30,https://www.amazon.ca/Waltz-Debby-Vinyl-Bill-Evans/dp/B006PF212E/ref=sr_1_5?crid=33TPQZPKSEHE7&keywords=bill+evans+vinyl&qid=1653922323&sprefix=bill+evans%2Caps%2C80&sr=8-5
Bill Evans,Explorations (Vinyl),4.6,57,29.49,1,2022-05-30,https://www.amazon.ca/Explorations-Vinyl-Bill-Evans/dp/B006YTLMIK/ref=sr_1_8?crid=33TPQZPKSEHE7&keywords=bill+evans+vinyl&qid=1653922365&sprefix=bill+evans%2Caps%2C80&sr=8-8
"EVANS,BILL TRIO",Portrait In Jazz (180G/Limited Edition/Clear Green Vinyl/Bonus Track/Unique Sticker),4.6,"1,127",54.92,1,2022-05-30,https://www.amazon.ca/Portrait-Jazz-Vinyl-Bill-Evans/dp/B078XX3MMV/ref=sr_1_22?crid=33TPQZPKSEHE7&keywords=bill+evans+vinyl&qid=1653922365&sprefix=bill+evans%2Caps%2C80&sr=8-22
"John, Elton",Goodbye Yellow Brick Road (2LP Vinyl),4.8,"4,611",47.54,2,2022-05-30,https://www.amazon.ca/Goodbye-Yellow-Brick-Road-Vinyl/dp/B00I480SAC/ref=sr_1_5?crid=PMGSC3J86ZR&keywords=elton+john+vinyl&qid=1653922448&sprefix=elton+john+vinyl%2Caps%2C80&sr=8-5
Beatles,Meet the Beatle (Vinyl),4.8,317,52.99,1,2022-05-30,https://www.amazon.ca/Meet-Beatle-Vinyl-Beatles/dp/B00008EUK8/ref=sr_1_8?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922501&sprefix=beatles+vinyl%2Caps%2C100&sr=8-8
The Beatles,Please Please Me (180 Gram Vinyl Edition),4.8,"2,374",34.9,1,2022-05-30,https://www.amazon.ca/Please-Me-180-Gram-Vinyl/dp/B0041KVX1K/ref=sr_1_11?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922537&sprefix=beatles+vinyl%2Caps%2C100&sr=8-11
The Beatles,Help! 180 Gram Vinyl Edition,4.7,"3,529",29.85,1,2022-05-30,https://www.amazon.ca/Help-180-Gram-Vinyl-Beatles/dp/B0041KVV8A/ref=sr_1_17?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922537&sprefix=beatles+vinyl%2Caps%2C100&sr=8-17
The Beatles,A Hard Day's Night 180 Gram Vinyl Edition,4.8,"1,122",38.42,1,2022-05-30,https://www.amazon.ca/Hard-Days-Night-Gram-Vinyl/dp/B0041KVX1A/ref=sr_1_47?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922537&sprefix=beatles+vinyl%2Caps%2C100&sr=8-47
The Beach Boys,Wild Honey (180-Gram Vinyl),4.6,77,49.94,1,2022-05-30,https://www.amazon.ca/Wild-Honey-180-Gram-Vinyl-Beach/dp/B071KTB9JH/ref=sr_1_30?crid=3BQVMBASTAVL8&keywords=beach+boys+vinyl&qid=1653922670&sprefix=beach+boys+vinyl%2Caps%2C83&sr=8-30
Third Eye Blind,Third Eye Blind (Vinyl),4.7,832,50.98,2,2022-05-30,https://www.amazon.ca/Third-Eye-Blind-Vinyl/dp/B09ZYRBFMG/ref=sr_1_1?keywords=third+eye+blind+vinyl&qid=1653922733&sprefix=third+eye%2Caps%2C96&sr=8-1
Billie Holiday,Lady Sings The Blues (2LP Gatefold 180g Vinyl) - Billie Holiday,4.7,305,38.54,2,2022-05-30,https://www.amazon.ca/Lady-Sings-Blues-Gatefold-Vinyl/dp/B00ETHPH8A/ref=sr_1_1?crid=1DD39UTWT090K&keywords=billie+holiday+vinyl&qid=1653922801&sprefix=billie+holiday+vinyl%2Caps%2C92&sr=8-1
"Buckley, Jeff",Grace (Vinyl),4.7,"2,420",38.57,1,2022-05-30,https://www.amazon.ca/Grace-Vinyl-Jeff-Buckley/dp/B00447G2NY/ref=sr_1_1?crid=15B4TUVPUDRN1&keywords=jeff+buckley+vinyl&qid=1653923430&sprefix=jeff+buckley+vinyl%2Caps%2C84&sr=8-1
Current Joys,Voyager (Vinyl),4.8,42,23.5,2,2022-05-30,https://www.amazon.ca/Voyager-Vinyl-Current-Joys/dp/B08YL9DFBG/ref=sr_1_1?crid=2I5B31W93N9MS&keywords=current+joys+vinyl&qid=1653923504&sprefix=current+joys+vinyl%2Caps%2C81&sr=8-1
Twin Peaks,Sweet '17 Singles (Vinyl),4.6,37,33.97,1,2022-05-30,https://www.amazon.ca/Sweet-Singles-Vinyl-Twin-Peaks/dp/B077XWZSBB/ref=sr_1_10?crid=V9SQO06FUSSE&keywords=twin+peaks+vinyl&qid=1653923596&sprefix=twin+peaks+vinyl%2Caps%2C86&sr=8-10
Twin Peaks,Wild Onion (Vinyl),4.8,38,43.13,1,2022-05-30,https://www.amazon.ca/Wild-Onion-Vinyl-Twin-Peaks/dp/B00LBU7LVO/ref=sr_1_12?crid=V9SQO06FUSSE&keywords=twin+peaks+vinyl&qid=1653923628&sprefix=twin+peaks+vinyl%2Caps%2C86&sr=8-12
Beastie Boys,Check Your Head (Rm) (Vinyl),4.8,932,66.4,2,2022-05-30,https://www.amazon.ca/Check-Your-Head-Rm-Vinyl/dp/B001Q8FSQG/ref=sr_1_1?crid=9SY5FZLED0YK&keywords=the+beastie+boys+vinyl&qid=1653923678&sprefix=the+beastie+boys+vinyl%2Caps%2C101&sr=8-1
Weezer,Weezer (Blue Album) (Vinyl),4.7,"4,109",31.63,1,2022-05-30,https://www.amazon.ca/Weezer-Blue-Album-Vinyl/dp/B01L2ZS87S/ref=asc_df_B01L2ZS87S/?tag=googleshopc0c-20&linkCode=df0&hvadid=292997009494&hvpos=&hvnetw=g&hvrand=17970184648922962140&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1002283&hvtargid=pla-439544140972&psc=1
Fleet Foxes,Crack-Up (Vinyl),4.4,370,59.22,2,2022-05-30,https://www.amazon.ca/Crack-Up-Vinyl-Fleet-Foxes/dp/B06XGN3ZD5/ref=sr_1_5?crid=3FHPTOIY9OSAK&keywords=fleet+foxes+helplessness+blues+vinyl&qid=1653680596&s=music&sprefix=fleet+foxes+helplessness+blues+vinyl%2Cpopular%2C88&sr=1-5
The Cure,Head on the Door (Vinyl),4.8,"1,224",23.79,1,2022-05-30,https://www.amazon.ca/Head-Door-Vinyl-Cure/dp/B000091EQO/ref=sr_1_3?crid=TN45MHTNELRL&keywords=the+cure+vinyl&qid=1653680657&s=music&sprefix=the+cure+vinyl%2Cpopular%2C79&sr=1-3
The Beatles,Abbey Road (50th Anniversary Vinyl Edition),4.8,"8,695",42.52,1,2022-05-30,https://www.amazon.ca/Abbey-Road-50th-Anniversary-Vinyl/dp/B07VNS48HD/ref=sxin_14_ac_d_rm?ac_md=3-3-ZGlzcXVlIHZpbnlsZQ%3D%3D-ac_d_rm_rm_rm&content-id=amzn1.sym.72e1e133-b969-4a44-ad15-4bedb4de079e%3Aamzn1.sym.72e1e133-b969-4a44-ad15-4bedb4de079e&crid=288IH9R0J79O3&cv_ct_cx=vinyl+music&keywords=vinyl+music&pd_rd_i=B07VNS48HD&pd_rd_r=46acda06-729f-4645-9bee-3bd1682c9757&pd_rd_w=sLXcM&pd_rd_wg=H1z9X&pf_rd_p=72e1e133-b969-4a44-ad15-4bedb4de079e&pf_rd_r=DJGFCX009TWQS5T12MAT&psc=1&qid=1653922198&sprefix=vinyl+music%2Caps%2C87&sr=1-4-7d9bfb42-6e38-4445-b604-42cab39e191b
Dave Quartet Brubeck,Time Out (Vinyl),4.7,"3,458",26.67,1,2022-05-30,https://www.amazon.ca/Time-Vinyl-Dave-Quartet-Brubeck/dp/B0034JV5Y4/ref=sr_1_1?crid=2KFHF31Q9ZNLM&keywords=dave+brubeck+vinyl&qid=1653922267&sprefix=dave+brubeck+vinyl%2Caps%2C82&sr=8-1
Bill Evans,Waltz for Debby (Vinyl),4.6,964,25.25,1,2022-05-30,https://www.amazon.ca/Waltz-Debby-Vinyl-Bill-Evans/dp/B006PF212E/ref=sr_1_5?crid=33TPQZPKSEHE7&keywords=bill+evans+vinyl&qid=1653922323&sprefix=bill+evans%2Caps%2C80&sr=8-5
Bill Evans,Explorations (Vinyl),4.6,57,29.49,1,2022-05-30,https://www.amazon.ca/Explorations-Vinyl-Bill-Evans/dp/B006YTLMIK/ref=sr_1_8?crid=33TPQZPKSEHE7&keywords=bill+evans+vinyl&qid=1653922365&sprefix=bill+evans%2Caps%2C80&sr=8-8
"EVANS,BILL TRIO",Portrait In Jazz (180G/Limited Edition/Clear Green Vinyl/Bonus Track/Unique Sticker),4.6,"1,127",54.36,1,2022-05-30,https://www.amazon.ca/Portrait-Jazz-Vinyl-Bill-Evans/dp/B078XX3MMV/ref=sr_1_22?crid=33TPQZPKSEHE7&keywords=bill+evans+vinyl&qid=1653922365&sprefix=bill+evans%2Caps%2C80&sr=8-22
"John, Elton",Goodbye Yellow Brick Road (2LP Vinyl),4.8,"4,611",47.54,2,2022-05-30,https://www.amazon.ca/Goodbye-Yellow-Brick-Road-Vinyl/dp/B00I480SAC/ref=sr_1_5?crid=PMGSC3J86ZR&keywords=elton+john+vinyl&qid=1653922448&sprefix=elton+john+vinyl%2Caps%2C80&sr=8-5
Beatles,Meet the Beatle (Vinyl),4.8,317,52.99,1,2022-05-30,https://www.amazon.ca/Meet-Beatle-Vinyl-Beatles/dp/B00008EUK8/ref=sr_1_8?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922501&sprefix=beatles+vinyl%2Caps%2C100&sr=8-8
The Beatles,Please Please Me (180 Gram Vinyl Edition),4.8,"2,374",34.9,1,2022-05-30,https://www.amazon.ca/Please-Me-180-Gram-Vinyl/dp/B0041KVX1K/ref=sr_1_11?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922537&sprefix=beatles+vinyl%2Caps%2C100&sr=8-11
The Beatles,Help! 180 Gram Vinyl Edition,4.7,"3,529",29.85,1,2022-05-30,https://www.amazon.ca/Help-180-Gram-Vinyl-Beatles/dp/B0041KVV8A/ref=sr_1_17?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922537&sprefix=beatles+vinyl%2Caps%2C100&sr=8-17
The Beatles,A Hard Day's Night 180 Gram Vinyl Edition,4.8,"1,122",38.42,1,2022-05-30,https://www.amazon.ca/Hard-Days-Night-Gram-Vinyl/dp/B0041KVX1A/ref=sr_1_47?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922537&sprefix=beatles+vinyl%2Caps%2C100&sr=8-47
The Beach Boys,Wild Honey (180-Gram Vinyl),4.6,77,49.94,1,2022-05-30,https://www.amazon.ca/Wild-Honey-180-Gram-Vinyl-Beach/dp/B071KTB9JH/ref=sr_1_30?crid=3BQVMBASTAVL8&keywords=beach+boys+vinyl&qid=1653922670&sprefix=beach+boys+vinyl%2Caps%2C83&sr=8-30
Third Eye Blind,Third Eye Blind (Vinyl),4.7,832,50.98,2,2022-05-30,https://www.amazon.ca/Third-Eye-Blind-Vinyl/dp/B09ZYRBFMG/ref=sr_1_1?keywords=third+eye+blind+vinyl&qid=1653922733&sprefix=third+eye%2Caps%2C96&sr=8-1
Billie Holiday,Lady Sings The Blues (2LP Gatefold 180g Vinyl) - Billie Holiday,4.7,305,38.54,2,2022-05-30,https://www.amazon.ca/Lady-Sings-Blues-Gatefold-Vinyl/dp/B00ETHPH8A/ref=sr_1_1?crid=1DD39UTWT090K&keywords=billie+holiday+vinyl&qid=1653922801&sprefix=billie+holiday+vinyl%2Caps%2C92&sr=8-1
"Buckley, Jeff",Grace (Vinyl),4.7,"2,420",38.57,1,2022-05-30,https://www.amazon.ca/Grace-Vinyl-Jeff-Buckley/dp/B00447G2NY/ref=sr_1_1?crid=15B4TUVPUDRN1&keywords=jeff+buckley+vinyl&qid=1653923430&sprefix=jeff+buckley+vinyl%2Caps%2C84&sr=8-1
Current Joys,Voyager (Vinyl),4.8,42,23.5,2,2022-05-30,https://www.amazon.ca/Voyager-Vinyl-Current-Joys/dp/B08YL9DFBG/ref=sr_1_1?crid=2I5B31W93N9MS&keywords=current+joys+vinyl&qid=1653923504&sprefix=current+joys+vinyl%2Caps%2C81&sr=8-1
Twin Peaks,Sweet '17 Singles (Vinyl),4.6,37,33.97,1,2022-05-30,https://www.amazon.ca/Sweet-Singles-Vinyl-Twin-Peaks/dp/B077XWZSBB/ref=sr_1_10?crid=V9SQO06FUSSE&keywords=twin+peaks+vinyl&qid=1653923596&sprefix=twin+peaks+vinyl%2Caps%2C86&sr=8-10
Twin Peaks,Wild Onion (Vinyl),4.8,38,43.13,1,2022-05-30,https://www.amazon.ca/Wild-Onion-Vinyl-Twin-Peaks/dp/B00LBU7LVO/ref=sr_1_12?crid=V9SQO06FUSSE&keywords=twin+peaks+vinyl&qid=1653923628&sprefix=twin+peaks+vinyl%2Caps%2C86&sr=8-12
Beastie Boys,Check Your Head (Rm) (Vinyl),4.8,932,66.4,2,2022-05-30,https://www.amazon.ca/Check-Your-Head-Rm-Vinyl/dp/B001Q8FSQG/ref=sr_1_1?crid=9SY5FZLED0YK&keywords=the+beastie+boys+vinyl&qid=1653923678&sprefix=the+beastie+boys+vinyl%2Caps%2C101&sr=8-1
Weezer,Weezer (Blue Album) (Vinyl),4.7,"4,109",31.63,1,2022-05-30,https://www.amazon.ca/Weezer-Blue-Album-Vinyl/dp/B01L2ZS87S/ref=asc_df_B01L2ZS87S/?tag=googleshopc0c-20&linkCode=df0&hvadid=292997009494&hvpos=&hvnetw=g&hvrand=17970184648922962140&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1002283&hvtargid=pla-439544140972&psc=1
Fleet Foxes,Crack-Up (Vinyl),4.4,370,59.22,2,2022-05-30,https://www.amazon.ca/Crack-Up-Vinyl-Fleet-Foxes/dp/B06XGN3ZD5/ref=sr_1_5?crid=3FHPTOIY9OSAK&keywords=fleet+foxes+helplessness+blues+vinyl&qid=1653680596&s=music&sprefix=fleet+foxes+helplessness+blues+vinyl%2Cpopular%2C88&sr=1-5
The Cure,Head on the Door (Vinyl),4.8,"1,224",23.79,1,2022-05-30,https://www.amazon.ca/Head-Door-Vinyl-Cure/dp/B000091EQO/ref=sr_1_3?crid=TN45MHTNELRL&keywords=the+cure+vinyl&qid=1653680657&s=music&sprefix=the+cure+vinyl%2Cpopular%2C79&sr=1-3
The Beatles,Abbey Road (50th Anniversary Vinyl Edition),4.8,"8,695",42.52,1,2022-05-30,https://www.amazon.ca/Abbey-Road-50th-Anniversary-Vinyl/dp/B07VNS48HD/ref=sxin_14_ac_d_rm?ac_md=3-3-ZGlzcXVlIHZpbnlsZQ%3D%3D-ac_d_rm_rm_rm&content-id=amzn1.sym.72e1e133-b969-4a44-ad15-4bedb4de079e%3Aamzn1.sym.72e1e133-b969-4a44-ad15-4bedb4de079e&crid=288IH9R0J79O3&cv_ct_cx=vinyl+music&keywords=vinyl+music&pd_rd_i=B07VNS48HD&pd_rd_r=46acda06-729f-4645-9bee-3bd1682c9757&pd_rd_w=sLXcM&pd_rd_wg=H1z9X&pf_rd_p=72e1e133-b969-4a44-ad15-4bedb4de079e&pf_rd_r=DJGFCX009TWQS5T12MAT&psc=1&qid=1653922198&sprefix=vinyl+music%2Caps%2C87&sr=1-4-7d9bfb42-6e38-4445-b604-42cab39e191b
Dave Quartet Brubeck,Time Out (Vinyl),4.7,"3,458",26.67,1,2022-05-30,https://www.amazon.ca/Time-Vinyl-Dave-Quartet-Brubeck/dp/B0034JV5Y4/ref=sr_1_1?crid=2KFHF31Q9ZNLM&keywords=dave+brubeck+vinyl&qid=1653922267&sprefix=dave+brubeck+vinyl%2Caps%2C82&sr=8-1
Bill Evans,Waltz for Debby (Vinyl),4.6,964,25.25,1,2022-05-30,https://www.amazon.ca/Waltz-Debby-Vinyl-Bill-Evans/dp/B006PF212E/ref=sr_1_5?crid=33TPQZPKSEHE7&keywords=bill+evans+vinyl&qid=1653922323&sprefix=bill+evans%2Caps%2C80&sr=8-5
Bill Evans,Explorations (Vinyl),4.6,57,29.49,1,2022-05-30,https://www.amazon.ca/Explorations-Vinyl-Bill-Evans/dp/B006YTLMIK/ref=sr_1_8?crid=33TPQZPKSEHE7&keywords=bill+evans+vinyl&qid=1653922365&sprefix=bill+evans%2Caps%2C80&sr=8-8
"EVANS,BILL TRIO",Portrait In Jazz (180G/Limited Edition/Clear Green Vinyl/Bonus Track/Unique Sticker),4.6,"1,127",54.36,1,2022-05-30,https://www.amazon.ca/Portrait-Jazz-Vinyl-Bill-Evans/dp/B078XX3MMV/ref=sr_1_22?crid=33TPQZPKSEHE7&keywords=bill+evans+vinyl&qid=1653922365&sprefix=bill+evans%2Caps%2C80&sr=8-22
"John, Elton",Goodbye Yellow Brick Road (2LP Vinyl),4.8,"4,611",47.54,2,2022-05-30,https://www.amazon.ca/Goodbye-Yellow-Brick-Road-Vinyl/dp/B00I480SAC/ref=sr_1_5?crid=PMGSC3J86ZR&keywords=elton+john+vinyl&qid=1653922448&sprefix=elton+john+vinyl%2Caps%2C80&sr=8-5
Beatles,Meet the Beatle (Vinyl),4.8,317,52.99,1,2022-05-30,https://www.amazon.ca/Meet-Beatle-Vinyl-Beatles/dp/B00008EUK8/ref=sr_1_8?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922501&sprefix=beatles+vinyl%2Caps%2C100&sr=8-8
The Beatles,Please Please Me (180 Gram Vinyl Edition),4.8,"2,374",34.9,1,2022-05-30,https://www.amazon.ca/Please-Me-180-Gram-Vinyl/dp/B0041KVX1K/ref=sr_1_11?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922537&sprefix=beatles+vinyl%2Caps%2C100&sr=8-11
The Beatles,Help! 180 Gram Vinyl Edition,4.7,"3,529",29.85,1,2022-05-30,https://www.amazon.ca/Help-180-Gram-Vinyl-Beatles/dp/B0041KVV8A/ref=sr_1_17?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922537&sprefix=beatles+vinyl%2Caps%2C100&sr=8-17
The Beatles,A Hard Day's Night 180 Gram Vinyl Edition,4.8,"1,122",37.91,1,2022-05-30,https://www.amazon.ca/Hard-Days-Night-Gram-Vinyl/dp/B0041KVX1A/ref=sr_1_47?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922537&sprefix=beatles+vinyl%2Caps%2C100&sr=8-47
The Beach Boys,Wild Honey (180-Gram Vinyl),4.6,77,49.94,1,2022-05-30,https://www.amazon.ca/Wild-Honey-180-Gram-Vinyl-Beach/dp/B071KTB9JH/ref=sr_1_30?crid=3BQVMBASTAVL8&keywords=beach+boys+vinyl&qid=1653922670&sprefix=beach+boys+vinyl%2Caps%2C83&sr=8-30
Third Eye Blind,Third Eye Blind (Vinyl),4.7,832,50.98,2,2022-05-30,https://www.amazon.ca/Third-Eye-Blind-Vinyl/dp/B09ZYRBFMG/ref=sr_1_1?keywords=third+eye+blind+vinyl&qid=1653922733&sprefix=third+eye%2Caps%2C96&sr=8-1
Billie Holiday,Lady Sings The Blues (2LP Gatefold 180g Vinyl) - Billie Holiday,4.7,305,38.54,2,2022-05-30,https://www.amazon.ca/Lady-Sings-Blues-Gatefold-Vinyl/dp/B00ETHPH8A/ref=sr_1_1?crid=1DD39UTWT090K&keywords=billie+holiday+vinyl&qid=1653922801&sprefix=billie+holiday+vinyl%2Caps%2C92&sr=8-1
"Buckley, Jeff",Grace (Vinyl),4.7,"2,420",38.57,1,2022-05-30,https://www.amazon.ca/Grace-Vinyl-Jeff-Buckley/dp/B00447G2NY/ref=sr_1_1?crid=15B4TUVPUDRN1&keywords=jeff+buckley+vinyl&qid=1653923430&sprefix=jeff+buckley+vinyl%2Caps%2C84&sr=8-1
Current Joys,Voyager (Vinyl),4.8,42,23.5,2,2022-05-30,https://www.amazon.ca/Voyager-Vinyl-Current-Joys/dp/B08YL9DFBG/ref=sr_1_1?crid=2I5B31W93N9MS&keywords=current+joys+vinyl&qid=1653923504&sprefix=current+joys+vinyl%2Caps%2C81&sr=8-1
Twin Peaks,Sweet '17 Singles (Vinyl),4.6,37,33.97,1,2022-05-30,https://www.amazon.ca/Sweet-Singles-Vinyl-Twin-Peaks/dp/B077XWZSBB/ref=sr_1_10?crid=V9SQO06FUSSE&keywords=twin+peaks+vinyl&qid=1653923596&sprefix=twin+peaks+vinyl%2Caps%2C86&sr=8-10
Twin Peaks,Wild Onion (Vinyl),4.8,38,43.13,1,2022-05-30,https://www.amazon.ca/Wild-Onion-Vinyl-Twin-Peaks/dp/B00LBU7LVO/ref=sr_1_12?crid=V9SQO06FUSSE&keywords=twin+peaks+vinyl&qid=1653923628&sprefix=twin+peaks+vinyl%2Caps%2C86&sr=8-12
Beastie Boys,Check Your Head (Rm) (Vinyl),4.8,932,66.4,2,2022-05-30,https://www.amazon.ca/Check-Your-Head-Rm-Vinyl/dp/B001Q8FSQG/ref=sr_1_1?crid=9SY5FZLED0YK&keywords=the+beastie+boys+vinyl&qid=1653923678&sprefix=the+beastie+boys+vinyl%2Caps%2C101&sr=8-1
Weezer,Weezer (Blue Album) (Vinyl),4.7,"4,114",31.48,1,2022-05-31,https://www.amazon.ca/Weezer-Blue-Album-Vinyl/dp/B01L2ZS87S/ref=asc_df_B01L2ZS87S/?tag=googleshopc0c-20&linkCode=df0&hvadid=292997009494&hvpos=&hvnetw=g&hvrand=17970184648922962140&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1002283&hvtargid=pla-439544140972&psc=1
Fleet Foxes,Crack-Up (Vinyl),4.4,370,59.22,2,2022-05-31,https://www.amazon.ca/Crack-Up-Vinyl-Fleet-Foxes/dp/B06XGN3ZD5/ref=sr_1_5?crid=3FHPTOIY9OSAK&keywords=fleet+foxes+helplessness+blues+vinyl&qid=1653680596&s=music&sprefix=fleet+foxes+helplessness+blues+vinyl%2Cpopular%2C88&sr=1-5
The Cure,Head on the Door (Vinyl),4.8,"1,227",23.79,1,2022-05-31,https://www.amazon.ca/Head-Door-Vinyl-Cure/dp/B000091EQO/ref=sr_1_3?crid=TN45MHTNELRL&keywords=the+cure+vinyl&qid=1653680657&s=music&sprefix=the+cure+vinyl%2Cpopular%2C79&sr=1-3
The Beatles,Abbey Road (50th Anniversary Vinyl Edition),4.8,"8,722",42.52,1,2022-05-31,https://www.amazon.ca/Abbey-Road-50th-Anniversary-Vinyl/dp/B07VNS48HD/ref=sxin_14_ac_d_rm?ac_md=3-3-ZGlzcXVlIHZpbnlsZQ%3D%3D-ac_d_rm_rm_rm&content-id=amzn1.sym.72e1e133-b969-4a44-ad15-4bedb4de079e%3Aamzn1.sym.72e1e133-b969-4a44-ad15-4bedb4de079e&crid=288IH9R0J79O3&cv_ct_cx=vinyl+music&keywords=vinyl+music&pd_rd_i=B07VNS48HD&pd_rd_r=46acda06-729f-4645-9bee-3bd1682c9757&pd_rd_w=sLXcM&pd_rd_wg=H1z9X&pf_rd_p=72e1e133-b969-4a44-ad15-4bedb4de079e&pf_rd_r=DJGFCX009TWQS5T12MAT&psc=1&qid=1653922198&sprefix=vinyl+music%2Caps%2C87&sr=1-4-7d9bfb42-6e38-4445-b604-42cab39e191b
Dave Quartet Brubeck,Time Out (Vinyl),4.7,"3,465",26.67,1,2022-05-31,https://www.amazon.ca/Time-Vinyl-Dave-Quartet-Brubeck/dp/B0034JV5Y4/ref=sr_1_1?crid=2KFHF31Q9ZNLM&keywords=dave+brubeck+vinyl&qid=1653922267&sprefix=dave+brubeck+vinyl%2Caps%2C82&sr=8-1
Bill Evans,Waltz for Debby (Vinyl),4.6,965,25.25,1,2022-05-31,https://www.amazon.ca/Waltz-Debby-Vinyl-Bill-Evans/dp/B006PF212E/ref=sr_1_5?crid=33TPQZPKSEHE7&keywords=bill+evans+vinyl&qid=1653922323&sprefix=bill+evans%2Caps%2C80&sr=8-5
Bill Evans,Explorations (Vinyl),4.6,57,29.49,1,2022-05-31,https://www.amazon.ca/Explorations-Vinyl-Bill-Evans/dp/B006YTLMIK/ref=sr_1_8?crid=33TPQZPKSEHE7&keywords=bill+evans+vinyl&qid=1653922365&sprefix=bill+evans%2Caps%2C80&sr=8-8
"EVANS,BILL TRIO",Portrait In Jazz (180G/Limited Edition/Clear Green Vinyl/Bonus Track/Unique Sticker),4.6,"1,128",36.53,1,2022-05-31,https://www.amazon.ca/Portrait-Jazz-Vinyl-Bill-Evans/dp/B078XX3MMV/ref=sr_1_22?crid=33TPQZPKSEHE7&keywords=bill+evans+vinyl&qid=1653922365&sprefix=bill+evans%2Caps%2C80&sr=8-22
"John, Elton",Goodbye Yellow Brick Road (2LP Vinyl),4.8,"4,621",47.54,2,2022-05-31,https://www.amazon.ca/Goodbye-Yellow-Brick-Road-Vinyl/dp/B00I480SAC/ref=sr_1_5?crid=PMGSC3J86ZR&keywords=elton+john+vinyl&qid=1653922448&sprefix=elton+john+vinyl%2Caps%2C80&sr=8-5
Beatles,Meet the Beatle (Vinyl),4.8,317,52.99,1,2022-05-31,https://www.amazon.ca/Meet-Beatle-Vinyl-Beatles/dp/B00008EUK8/ref=sr_1_8?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922501&sprefix=beatles+vinyl%2Caps%2C100&sr=8-8
The Beatles,Please Please Me (180 Gram Vinyl Edition),4.8,"2,379",34.54,1,2022-05-31,https://www.amazon.ca/Please-Me-180-Gram-Vinyl/dp/B0041KVX1K/ref=sr_1_11?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922537&sprefix=beatles+vinyl%2Caps%2C100&sr=8-11
The Beatles,Help! 180 Gram Vinyl Edition,4.7,"3,536",36.99,1,2022-05-31,https://www.amazon.ca/Help-180-Gram-Vinyl-Beatles/dp/B0041KVV8A/ref=sr_1_17?crid=2VL7HJJXRJDFY&keywords=beatles+vinyl&qid=1653922537&sprefix=beatles+vinyl%2Caps%2C100&sr=8-17
